threshold,tp,fp,tn,fn,precision,recall,fpr,mcc,alerts_generated
0.1,189,254,3666,0,0.42663656884875845,1.0,0.06479591836734694,0.6316583416381907,443
0.2,189,147,3773,0,0.5625,1.0,0.0375,0.7358031326380718,336
0.3,188,105,3815,1,0.6416382252559727,0.9947089947089947,0.026785714285714284,0.7879104817022939,293
0.4,186,84,3836,3,0.6888888888888889,0.9841269841269841,0.02142857142857143,0.8139041318309383,270
0.5,181,69,3851,8,0.724,0.9576719576719577,0.01760204081632653,0.8238093125776773,250
0.6,177,55,3865,12,0.7629310344827587,0.9365079365079365,0.01403061224489796,0.8372164289968453,232
0.7,171,46,3874,18,0.7880184331797235,0.9047619047619048,0.01173469387755102,0.836416025302965,217
0.8,160,30,3890,29,0.8421052631578947,0.8465608465608465,0.007653061224489796,0.8368039628021653,190
0.9,146,12,3908,43,0.9240506329113924,0.7724867724867724,0.003061224489795918,0.8382208895200991,158
