threshold,tp,fp,tn,fn,precision,recall,fpr,mcc,alerts_generated,alert_rate,selected_statistical_baseline,selection_rule,operationally_homologated
0.1,242,1092,1153,12,0.181409295352,0.952755905512,0.486414253898,0.282480426321,1334,0.53381352541,False,max_mcc_statistical_baseline,False
0.2,220,889,1356,34,0.198376916141,0.866141732283,0.395991091314,0.28594920293,1109,0.443777511004,False,max_mcc_statistical_baseline,False
0.3,204,715,1530,50,0.221980413493,0.803149606299,0.318485523385,0.303724319988,919,0.36774709884,True,max_mcc_statistical_baseline,False
0.4,172,571,1674,82,0.231493943472,0.677165354331,0.25434298441,0.279528648299,743,0.297318927571,False,max_mcc_statistical_baseline,False
0.5,145,429,1816,109,0.252613240418,0.570866141732,0.191091314031,0.272822317184,574,0.229691876751,False,max_mcc_statistical_baseline,False
0.6,117,274,1971,137,0.299232736573,0.46062992126,0.122048997773,0.281620220514,391,0.156462585034,False,max_mcc_statistical_baseline,False
0.7,77,138,2107,177,0.358139534884,0.303149606299,0.0614699331849,0.260434116805,215,0.0860344137655,False,max_mcc_statistical_baseline,False
0.8,46,51,2194,208,0.474226804124,0.181102362205,0.0227171492205,0.247780597148,97,0.0388155262105,False,max_mcc_statistical_baseline,False
0.9,13,4,2241,241,0.764705882353,0.0511811023622,0.00178173719376,0.181602176632,17,0.00680272108844,False,max_mcc_statistical_baseline,False
