split,threshold_source,selection_rule,operationally_homologated,train_prevalence_baseline,baseline_auc_pr,baseline_auc_roc,rows,positives,negatives,prevalence,auc_pr,auc_roc,threshold,tp,fp,tn,fn,precision,recall,fpr,mcc,alerts_generated,alert_rate
calibration,calibration,max_mcc_statistical_baseline,False,0.09443777511,0.101640656263,0.5,2499,254,2245,0.101640656263,0.339562500756,0.815032530733,0.3,204,715,1530,50,0.221980413493,0.803149606299,0.318485523385,0.303724319988,919,0.36774709884
test,calibration,max_mcc_statistical_baseline,False,0.09443777511,0.0880704563651,0.5,2498,220,2278,0.0880704563651,0.316691824697,0.826855694788,0.3,171,645,1633,49,0.209558823529,0.777272727273,0.283143107989,0.298587080547,816,0.326661329063
